Name,Socket,Core Count,Thread Count,Base Clock,Boost Clock,TDP,Price,Performance_Class
Intel Core Ultra 5 225,LGA1851,10,10,3.3 GHz,4.9 GHz,65 W,28258,Mid
Intel Core i7-4770,LGA1150,4,8,3.4 GHz,3.9 GHz,84 W,10509,High
Intel Core i3-13100F,LGA1700,4,8,3.4 GHz,4.5 GHz,58 W,13670,Entry
Intel Core i7-11700F,LGA1200,8,16,2.5 GHz,4.9 GHz,65 W,28142,High
Intel Core i3-12100,LGA1700,4,8,3.3 GHz,4.3 GHz,60 W,24873,Entry
Intel Core i5-7500,LGA1151,4,4,3.4 GHz,3.8 GHz,65 W,8618,Mid
AMD Ryzen 7 2700,AM4,8,16,3.2 GHz,4.1 GHz,65 W,23354,High
Intel Core i9-13900KF,LGA1700,24,32,3.0 GHz,5.8 GHz,125 W,54874,Pro
Intel Core i7-12700,LGA1700,12,20,2.1 GHz,4.9 GHz,65 W,45541,High
AMD EPYC 4585PX,AM5,16,32,4.3 GHz,5.7 GHz,170 W,94307,Pro
Intel Core i5-10600K,LGA1200,6,12,4.1 GHz,4.8 GHz,125 W,32695,Mid
Intel Core i7-3770,LGA1155,4,8,3.4 GHz,,77 W,19339,High
Intel Core i9-10850K,LGA1200,10,20,3.6 GHz,5.2 GHz,125 W,46593,Pro
Intel Xeon E5-2699 V4,LGA2011-3,22,44,2.2 GHz,3.6 GHz,145 W,34104,Pro
AMD Ryzen 5 3600,AM4,6,12,3.6 GHz,4.2 GHz,65 W,29482,Mid
Intel Core Ultra 9 285,LGA1851,24,24,2.5 GHz,5.6 GHz,65 W,67612,Pro
Intel Core i5-8600K,LGA1151,6,6,3.6 GHz,4.3 GHz,95 W,23245,Mid
Intel Core i5-11600K,LGA1200,6,12,3.9 GHz,4.9 GHz,125 W,23238,Mid
Intel Core i5-6600K,LGA1151,4,4,3.5 GHz,3.9 GHz,91 W,29208,Mid
AMD Ryzen 7 1700X,AM4,8,16,3.4 GHz,3.8 GHz,95 W,14988,High
Intel Core i7-14700,LGA1700,20,28,2.1 GHz,5.4 GHz,65 W,62323,Pro
